OBJECTID,Tree ID,Tree Type,Genus,Species,Cultivar or Varietal,Common Name,Canopy Spread,Height,Latitude,Longitude,Size Category,Canopy Area,Height_Spread_Ratio,Distance_From_Center,Genus_Species_Count,Annual_CO2_Sequestration,Age_Category,Height_Normalized,Canopy Spread_Normalized,Canopy Area_Normalized,Spring_Canopy,Summer_Canopy,Fall_Canopy,Winter_Canopy,Spatial_Cluster
26,10771,DECIDUOUS,Fraxinus,pennsylvanica,,Green Ash,30.0,35.0,40.00835502,-105.2739823,Medium,706.8583470577034,1.1666666666666667,0.0008580616345027333,3,48,Old,0.013275526480082709,0.9774999951045755,0.7206154736304566,494.8008429403924,706.8583470577034,424.11500823462205,70.68583470577035,3
27,10776,DECIDUOUS,Fraxinus,americana,,White Ash,15.0,30.0,40.01017593,-105.2742952,Medium,176.71458676442586,2.0,0.0010909317588774674,3,48,Mature,-0.25121380877694954,-0.3964462715311971,-0.4738323786798854,123.7002107350981,176.71458676442586,106.02875205865551,17.671458676442587,0
28,10777,DECIDUOUS,Fraxinus,americana,,White Ash,15.0,30.0,40.0101509,-105.2742503,Medium,176.71458676442586,2.0,0.0010490913304585902,3,48,Mature,-0.25121380877694954,-0.3964462715311971,-0.4738323786798854,123.7002107350981,176.71458676442586,106.02875205865551,17.671458676442587,0
29,10787,DECIDUOUS,Fraxinus,americana,,White Ash,12.0,35.0,40.01003371,-105.2740349,Medium,113.09733552923255,2.9166666666666665,0.000865656229272902,3,48,Old,0.013275526480082709,-0.6712355248583516,-0.6171661209571264,79.16813487046278,113.09733552923255,67.85840131753953,11.309733552923255,0
30,10796,DECIDUOUS,Fraxinus,americana,,White Ash,15.0,40.0,40.00999893,-105.2738593,Medium,176.71458676442586,2.6666666666666665,0.0008036284153125208,3,48,Old,0.27776486173711495,-0.3964462715311971,-0.4738323786798854,123.7002107350981,176.71458676442586,106.02875205865551,17.671458676442587,0
31,10799,DECIDUOUS,Fraxinus,americana,,White Ash,15.0,35.0,40.0100355,-105.2737477,Medium,176.71458676442586,2.3333333333333335,0.0008416234268418537,3,48,Old,0.013275526480082709,-0.3964462715311971,-0.4738323786798854,123.7002107350981,176.71458676442586,106.02875205865551,17.671458676442587,0
32,10802,DECIDUOUS,Fraxinus,americana,,White Ash,15.0,35.0,40.01002627,-105.2735994,Medium,176.71458676442586,2.3333333333333335,0.0008571911357875329,3,48,Old,0.013275526480082709,-0.3964462715311971,-0.4738323786798854,123.7002107350981,176.71458676442586,106.02875205865551,17.671458676442587,0
33,11185,DECIDUOUS,Ulmus,americana,,American Elm,30.0,85.0,40.00775512,-105.2723714,Extra Large,706.8583470577034,2.8333333333333335,0.0020397684595917075,1,100,Very Old,2.658168879050405,0.9774999951045755,0.7206154736304566,494.8008429403924,706.8583470577034,424.11500823462205,70.68583470577035,1
34,11679,CONIFEROUS,Picea,pungens,,Blue Spruce,16.0,55.0,40.00915054,-105.2737074,Large,201.06192982974676,3.4375,0.00011669473016815075,4,70,Very Old,1.0712328675082117,-0.30484985375547896,-0.4189762550922993,180.95573684677208,201.06192982974676,180.95573684677208,180.95573684677208,0
35,14154,DECIDUOUS,Syringa,reticulata,,Japanese tree lilac,6.0,6.0,40.00986233,-105.2760194,Small,28.274333882308138,1.0,0.0023030890678374934,2,20,Young,-1.5207626180107043,-1.2208140315126608,-0.8082777773267811,19.792033717615695,28.274333882308138,16.964600329384883,2.827433388230814,4
